representation,model,I_S,I_plant,P3a_I_S>=2.0,P3b_raw_>=2x,raw_ratio,P3c_norm_>=1.5x,norm_ratio
autopsy_mix,random_forest,3.642,0.32,True,True,11.37,True,5.17
structural,random_forest,3.858,0.583,True,True,6.62,True,3.01
