quantity,point,lo,hi
T1_only accuracy,0.6772530864197531,0.6726851851851852,0.6819753086419753
T1_only I_bits,3.332786195122501,3.319104685379,3.346893950600638
T1_only_permuted accuracy,0.035925925925925924,0.03385802469135803,0.03799382716049383
T1_only_permuted I_bits,-0.026473743188363486,-0.029864093305995796,-0.02305421780029937
T1+T2_autopsy_mix accuracy,0.7696296296296297,0.7650300925925926,0.7738896604938271
T1+T2_autopsy_mix I_bits,3.6422966277900066,3.6297265203632505,3.654782444268894
T1+T2_structural accuracy,0.8064814814814815,0.8027461419753087,0.8101234567901234
T1+T2_structural I_bits,3.857526011498548,3.847181389961657,3.8677305570124774
paired accuracy difference (T1 - structural),-0.12922839506172834,-0.13422839506172846,-0.12450617283950616
"paired log-loss difference, bits (T1 - structural)",-0.5247398163760473,-0.5352715870989443,-0.5139753076445283
