experiment,representation,arm,model,n_classes,n_instances,accuracy,ci_lo,ci_hi,I_bits,chance
CW-16,autopsy_mix,stochastic_only,logistic,12,14400,0.6897222222222222,0.6834704861111112,0.6958333333333333,2.3821794966278764,0.08333333333333333
CW-16,autopsy_mix,stochastic_only,random_forest,12,14400,0.745625,0.7396527777777778,0.7515277777777778,2.6238296943562074,0.08333333333333333
CW-16,structural,stochastic_only,logistic,12,14400,0.7102777777777778,0.7041666666666667,0.71625,2.5411853312157997,0.08333333333333333
CW-16,structural,stochastic_only,random_forest,12,14400,0.7789583333333333,0.7734704861111111,0.7843090277777778,2.8141297132241316,0.08333333333333333
CW-16,autopsy_mix,deterministic_only,logistic,15,18000,0.8657222222222222,0.8607208333333334,0.8707791666666667,3.389702075867027,0.06666666666666667
CW-16,autopsy_mix,deterministic_only,random_forest,15,18000,0.9056666666666666,0.9015555555555556,0.9097222222222222,3.365046618245697,0.06666666666666667
CW-16,structural,deterministic_only,logistic,15,18000,0.8079444444444445,0.8029430555555556,0.8127222222222222,3.156494380125846,0.06666666666666667
CW-16,structural,deterministic_only,random_forest,15,18000,0.9255555555555556,0.9221652777777778,0.9289458333333334,3.523756309971511,0.06666666666666667
