M,representation,seeds,lower_spread,fano_spread,margin,margin_over_noise
22,autopsy_mix,20,0.0004147727272726387,0.0024736016322659538,0.37802912887909157,152.82538786683946
22,structural,20,0.00037878787878786735,0.002408103044531096,0.6734453803487876,279.6580411615735
27,autopsy_mix,20,0.00040277777777786294,0.0025822268466231257,0.7086164859132911,274.4206950059307
27,structural,20,0.0004027777777777519,0.0027110247705341983,0.9549053821296805,352.23041578536356
