section,arm,representation,model,accuracy,ci_lo,ci_hi,contains_chance,I_bits,chance
E.1,random50,autopsy_mix,logistic,0.03901234567901234,0.03697453703703704,0.04095756172839506,True,-0.008763346528232852,0.037037037037037035
E.1,random50,autopsy_mix,random_forest,0.03746913580246913,0.03546219135802469,0.03947530864197531,True,-0.008771812701350967,0.037037037037037035
E.1,random50,structural,logistic,0.03830246913580247,0.03638888888888889,0.040247685185185185,True,-0.0044587805992994944,0.037037037037037035
E.1,random50,structural,random_forest,0.03774691358024691,0.0358016975308642,0.03978472222222222,True,-0.010897054954819296,0.037037037037037035
E.1,random50,overlap_profile,logistic,0.052006172839506176,0.04969135802469136,0.054475308641975306,False,-0.016363001325647275,0.037037037037037035
E.1,random50,overlap_profile,random_forest,0.1592283950617284,0.1552770061728395,0.16311805555555556,False,0.5946818191637426,0.037037037037037035
