arm,A,A_in,A_cal,A_lo,A_hi,C_lo,C_hi,A_family,correct_family,same_alg_obs,same_alg_null,n_folds,n_out
sid,0.07040719696931819,0.01010702260909091,0.010087481967045455,0.011249999995454545,0.13787878787727273,0.50483569505,0.66938361525,0.05819128787727273,0.28748122774431817,0.2784597361592105,0.16548910605079917,88,105600
rid,0.0,0.0,0.0,0.0,0.0,0.2400686294,0.2812450379,0.0,0.32040284003146874,0.3648677916314108,0.1645403198780764,88,212392
